zip,donations,total,donations_per_1000
21668,399,6508.429999999995,61.30510737612609
21669,15,1276.6999999999998,11.749040495026241
21671,57,2785.99,20.459513494305437
21672,2,46.05,43.43105320304018
21673,188,8611.570000000002,21.831094678438422
21675,1,25,40
21676,21,710.0500000000001,29.575382015351032
21677,128,1134.9900000000007,112.77632402047588
21678,43,1922.5899999999997,22.365662985868024
21679,81,2694.7099999999996,30.05889316475614
21701,6057,114826.3500000018,52.74921653435736
21702,5174,126991.27000000182,40.74295815767435
21703,2098,67041.95000000004,31.29383915593145
21704,1240,58343.60999999997,21.253398615546768
21705,33,1493.22,22.099891509623497
21710,301,13761.380000000008,21.872806360989944
21711,27,898.0700000000002,30.064471589074344
21713,1288,40229.73999999996,32.016115440964846
21714,12,290.82000000000005,41.26263668248401
21715,22,502.48,43.78283712784589
21716,540,16379.819999999992,32.967395246101624
21717,54,1939.79,27.83806494517448
21718,6,494.52,12.132977432661976
21719,58,2473.4699999999993,23.44883908032037
21720,6,386.2199999999999,15.535187199005751
21721,45,432.32,104.08956328645448
21722,317,9866.599999999997,32.128595463482874
21723,215,3686.479999999998,58.3212169874786
21727,756,28446.509999999995,26.57619511145656
21733,22,980.28,22.442567429713957
21734,64,1267.72,50.48433408008077
21737,149,9376.609999999995,15.890604386873303
21738,1641,31309.770000000022,52.4117551805714
21740,41865,136944.65000000247,305.70745187927565
21741,22,466.39,47.17082270203049
21742,5487,163741.37000000075,33.51016300889613
21746,9,552.02,16.303757110249627
21750,165,5061.7199999999975,32.59761503994691
21754,1220,39970.79999999996,30.522281265323716
21755,504,21364.609999999982,23.5904142411212
21756,336,22238.630000000005,15.108844384748517
21757,196,10792.840000000004,18.160187679980424
21758,1294,30557.549999999916,42.34632684884762
21762,53,2202.48,24.063782645018343
21765,6,551.1,10.887316276537833
21766,177,1711.669999999999,103.4077830422921
21767,271,2927.9700000000003,92.55559312424649
21769,1570,39481.69999999997,39.76525833487416
21770,723,20556.359999999997,35.171596527789944
21771,6746,150894.49000000267,44.70673514983802
21773,402,13039.27,30.829946768492405
21774,2844,60800.73000000003,46.77575417268836
21776,1147,15895.469999999972,72.15892326555944
21777,105,5306.590000000001,19.786718024192556
21778,138,3602.839999999998,38.30311643037162
21779,121,6273.829999999999,19.286464567895532
21780,106,3914.229999999999,27.08067742570059
21782,271,8791.65,30.82470298521893
21783,718,14984.93999999998,47.914773098857985
21784,6982,355008.319999996,19.667144702411704
21787,1154,26892.229999999985,42.91202328702382
21788,986,20376.15,48.38990682734471
21791,1011,16003.319999999983,63.17439131380245
21793,1537,46443.080000000016,33.09427367866213
21794,384,21564.38999999999,17.807134818095953
21795,917,23988.369999999977,38.2268574313303
21797,2300,90915.01000000056,25.29835282424746
21798,453,9415.339999999993,48.11297308434962
21801,2279,50766.34,44.8919500598231
21802,43,2320.959999999999,18.526816489728393
21804,4477,63720.600000000406,70.25985317150139
21810,75,2913.13,25.74550397682218
21811,3477,115303.71000000108,30.15514418399865
21813,503,11720.36,42.91677047462706
21814,5,267.12,18.718179095537586
21817,551,19574.94999999999,28.148220046539087
21821,73,5392.68,13.536868495812843
21822,182,10207.600000000002,17.829852266938357
21824,8,294.93,27.125080527582817
21826,1033,11213.05,92.12480101310527
21829,6,113.99,52.636196157557684
21830,231,9891.73,23.35284121180016
21835,19,622.25,30.534351145038165
21837,85,2525.719999999999,33.653770014095
21838,168,2872.4799999999996,58.48604690023952
21840,8,342.2,23.378141437755698
21841,80,2151.8799999999997,37.176794245032255
21842,6872,94323.41000000104,72.85572054699809
21843,164,18116.730000000003,9.052406256537465
21849,320,9043.979999999998,35.38265232784682
21850,98,1950.46,50.24455769408242
21851,1760,13319.82000000002,132.13391772561474
21852,2,2,1000
21853,189,7985.15,23.668935461450317
21856,116,1575.8899999999996,73.60919861157824
21861,30,750.4300000000003,39.97707980757698
21862,7,266.86,26.230982537660193
21863,502,14885.14,33.724909540655986
21864,62,422.49,146.74903548012972
21865,553,5861.259999999992,94.34831418500472
21869,162,3811.920000000001,42.498268589057474
21871,6748,28618.619999999828,235.79054475722592
21872,67,1340.1700000000003,49.99365752106075
21874,289,5033.470000000003,57.41565957480621
21875,571,7865.319999999991,72.59717341443205
21901,1807,37834.40000000001,47.76076797834774
21903,722,9080.169999999973,79.51392980527922
21904,429,10706.209999999994,40.070202247107076
21911,2860,39679.05000000002,72.07833856909373
21912,116,4251.120000000001,27.28692673930634
21913,40,1308.4999999999995,30.569354222392064
21914,28,1399.7300000000002,20.00385788687818
21915,262,10522.589999999998,24.89881293483829
21917,138,3712.3899999999994,37.17281858856425
21918,682,13136.439999999982,51.916653218071325
21919,193,7736.6,24.946358865651575
21920,8,227.88,35.10619624363701
21921,6986,117748.40000000056,59.32989322997142
21922,22,455.97,48.24878829747571
21930,1,312.3,3.202049311559398
22093,2,90,22.22222222222222
22312,25,2183.76,11.448144484741912
22905,1,47,21.27659574468085
26876,1,1,1000
27549,1,30,33.333333333333336
28852,16,268,59.701492537313435
28878,8,146.55,54.588877516206075
30328,10,88.02,113.61054305839582
33371,1,1,1000
35791,1,1,1000
35827,1,1,1000
36339,1,1,1000
36362,6,120,50
37535,1,1,1000
40752,1,1,1000
41880,1,1,1000
42941,1,1,1000
44593,1,1,1000
46432,1,1,1000
55094,1,1,1000
57404,1,1,1000
57876,1,1,1000
59573,1,1,1000
63584,1,1,1000
68775,1,1,1000
70109,1,1,1000
70287,1,1,1000
70960,1,1,1000
71990,1,1,1000
72605,1,1,1000
75177,1,1,1000
75690,1,1,1000
76381,1,1,1000
79023,1,1,1000
79644,1,1,1000
81779,1,1,1000
83486,1,1,1000
86119,1,1,1000
87963,1,1,1000
88952,1,1,1000
89707,1,1,1000
92348,1,1,1000
97645,1,1,1000
98598,1,1,1000
98677,1,1,1000
